rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
87,给孩子的安全教育漫画：对侵犯说不（新版）,孩子们的安全官爸爸 著，磨铁文化 出品,天津科学技术出版社,2025-08-25,22.0,38.0,5.8折,599,100%推荐,http://product.dangdang.com/29930675.html
88,我的阿勒泰（马伊琍、周依然、于适、蒋奇明主演的同名电视剧）新疆风光 马伊琍周依然于适主演央视热播收视登顶 李娟阿勒泰畅销代表作,李娟,广东花城出版社,2021-08-04,27.0,45.0,6.0折,515914,100%推荐,http://product.dangdang.com/29295452.html
89,夏洛的网(2020版）（三年级阅读经典书目）,（美）怀特　著，任溶溶　译,上海译文出版社,2014-08-01,25.5,37.0,6.9折,1519067,99.5%推荐,http://product.dangdang.com/28533668.html
90,窗边的小豆豆（影响21世纪的儿童文学杰作，北大名师推荐，2500万孩子和大人的人生之书！）,（日）黑柳彻子， 爱心树童书  出品,南海出版公司,2018-05-01,27.2,39.5,6.9折,1852552,99.9%推荐,http://product.dangdang.com/25272786.html
91,小刺猬理发百年百部精选注音书 本书收录了鲁兵的童话和童谣诗,鲁兵,长江少年儿童出版社,2018-08-01,10.6,25.0,4.2折,65500,100%推荐,http://product.dangdang.com/25316357.html
92,2024中华人民共和国刑法（实用版）（第十版）根据刑法修正案（十二）全新修订 团购电话:4001066666转6,中国法制出版社,中国法治出版社,2024-01-01,12.0,30.0,4.0折,69530,100%推荐,http://product.dangdang.com/29672786.html
93,富爸爸穷爸爸 × DeepSeek AI智能伴读版,【美】罗伯特·清崎    萧明 译,四川人民出版社,2019-08-01,39.8,89.0,4.5折,643958,100%推荐,http://product.dangdang.com/27902388.html
94,拉封丹寓言（《语文》推荐阅读丛书）人民文学出版社,（法）拉封丹 著 李玉民 译,人民文学出版社,2021-01-01,34.0,34.0,10.0折,13729,100%推荐,http://product.dangdang.com/29188016.html
95,明朝那些事儿增补版.第1部（2021版）（当当专供）,当年明月 著，磨铁文化 出品,北京联合出版有限公司,2017-05-01,27.0,45.0,6.0折,195692,100%推荐,http://product.dangdang.com/29296795.html
96,小学生必背古诗词75首 80首 金奖好书 全国通用1-6年级含统编版人教版RJ教材必背129首(王芳推荐)共200首超50万读者热评全国多地语文老师推荐彩绘注音有声版团购电话4001066666转6,说词解字辞书研究中心,华语教学出版社,2014-02-01,26.6,28.0,9.5折,663719,100%推荐,http://product.dangdang.com/23435948.html
97,一间只属于自己的房间（文淇同款！热播剧《我的阿勒泰》经典台词，女性主义奠基作品，李银河、杨澜推荐）,[英]弗吉尼亚·伍尔夫，果麦文化 出品,天津人民出版社,2024-04-01,19.9,39.8,5.0折,220451,100%推荐,http://product.dangdang.com/29715798.html
98,呼兰河传 “文学洛神”萧红的“旷世之作”影响数代人的文学经典,萧红；小博集出品,湖南文艺出版社,2025-04-24,21.3,25.0,8.5折,4623,100%推荐,http://product.dangdang.com/29874965.html
99,大道：段永平投资问答录 全球段永平首肯出版的问答录 100%段永平真言：日期明确，句句溯源,赵理亚 芒格书院,中信出版社,2025-05-31,70.5,98.0,7.2折,40914,100%推荐,http://product.dangdang.com/29874317.html
100,儒林外史 九年级下 名著阅读课程化丛书 导读版 人民教育出版社,（清）吴敬梓 著,人民教育出版社,2018-12-01,37.4,49.8,7.5折,204654,100%推荐,http://product.dangdang.com/26485508.html
