rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
1,读读童谣和儿歌（一至四册） 升级版 一年级下册 人民教育出版社,人民教育出版社,人民教育出版社,2025-01-01,27.8,42.8,6.5折,25001,100%推荐,http://product.dangdang.com/29839829.html
2,脑筋急转弯999问 6-12岁儿童益智动脑游戏书 越玩越聪明,崔钟雷,吉林美术出版社,,19.9,49.8,4.0折,11239,100%推荐,http://product.dangdang.com/29975866.html
3,静候葡萄成熟时  汪曾祺散文精选 问到何时葡萄先熟透你要静候再静候 充满烟火气的文字 自然生趣的插图 治愈焦虑 只管生长,汪曾祺 著  时代华语 出品,江苏凤凰文艺出版社,2025-12-01,29.8,52.0,5.7折,3,33.3%推荐,http://product.dangdang.com/29990709.html
4,波西和皮普7册经典套装(小小聪明豆系列绘本)0-4岁低幼启蒙情绪管理习惯养成绘本，引导宝宝认识接纳情绪培养好品质，发现快乐，体验成长！,（德）阿克塞尔·舍夫勒著/绘,外语教学与研究出版社,2015-08-17,73.0,73.0,10.0折,517884,100%推荐,http://product.dangdang.com/23769597.html
5,经典常谈  八年级下 下册推荐书目   人民教育出版社 朱自清  初中语文配套名著课程化阅读丛书,,人民教育出版社,,20.1,26.8,7.5折,1402,99.8%推荐,http://product.dangdang.com/29966103.html
6,愿望的实现 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,泰戈尔（印度）,商务印书馆,2020-02-01,16.4,21.8,7.5折,94694,100%推荐,http://product.dangdang.com/28516605.html
7,拉封丹寓言 快乐读书吧 三年级下册课外阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 5万多读者热评！,（法）让 德 拉封丹,南方出版社,2018-10-01,17.1,22.8,7.5折,118953,100%推荐,http://product.dangdang.com/26440480.html
8,人教版快乐读书吧阅读课程化丛书三年级下册套装（伊索寓言+中国古代寓言+克雷洛夫寓言）共3册 语文教科书配套书目,曹文轩、陈先云 主编,人民教育出版社,2019-01-01,41.3,75.0,5.5折,126084,100%推荐,http://product.dangdang.com/26920501.html
9,被讨厌的勇气,"岸見一郎, 古賀史健",机械工业出版社,2020-03-05,26.4,55.0,4.8折,1819538,100%推荐,http://product.dangdang.com/28518072.html
10,小刺猬阿奈家的24小时,[法]  曾荷丽,浙江教育出版社,2024-05-31,30.4,76.0,4.0折,80609,100%推荐,http://product.dangdang.com/29743915.html
11,女生会学习 世界都让路 专供印签版 附赠学习手册 创意明信片 试听课和资料包,致91岁的双胞胎（王徐心怡 王徐心悦） 著，磨铁文化 出品,国际文化出版公司,2025-10-01,39.8,59.8,6.7折,33295,100%推荐,http://product.dangdang.com/29954938.html
12,波西和皮普11册超值套装赠同款精美贴纸名字贴(小小聪明豆系列绘本)0-4岁低幼启蒙情绪管理习惯养成绘本，引导宝宝认识接纳情绪培养好品质，发现快乐，体验成长！,（德）阿克塞尔·舍夫勒,外语教学与研究出版社,2022-05-01,137.0,137.0,10.0折,799123,100%推荐,http://product.dangdang.com/29409127.html
13,小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,博多·舍费尔,中信出版社,2021-01-20,24.3,39.8,6.1折,453606,100%推荐,http://product.dangdang.com/29177871.html
14,十万个为什么 四年级下册快乐读书吧（含上下两本、彩色版 上下册标志拆塑封可见）语文教科书配书目,曹文轩、陈先云 主编,人民教育出版社,2020-01-01,48.8,75.0,6.5折,140850,100%推荐,http://product.dangdang.com/29200640.html
15,见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋江人气作者 纵虎嗅花 催泪之作！）,纵虎嗅花 著,北京联合出版有限公司,2023-01-01,42.3,49.8,8.5折,194899,100%推荐,http://product.dangdang.com/29498859.html
16,呼兰河传(《语文》推荐阅读丛书)人民文学出版社,萧红,人民文学出版社,2018-04-01,26.0,26.0,10.0折,327488,100%推荐,http://product.dangdang.com/25283736.html
17,钢铁是怎样炼成的 原著正版七年级下阅读 推荐名著初中语文配套课外阅读语文同步教材 赠学习资料和音频,,黑龙江美术出版社,,15.9,39.8,4.0折,164,100%推荐,http://product.dangdang.com/29971101.html
18,活着（余华代表作，精装，易烊千玺推荐阅读）,余华  著 ，新经典  出品,北京十月文艺出版社,2021-10-01,31.0,45.0,6.9折,1786420,100%推荐,http://product.dangdang.com/29311943.html
19,十万个为什么 快乐读书吧四年级下册推荐课外阅读青少版科普中小学生课外阅读指导丛书彩插无障碍阅读 28万读者热评！,（苏）米 伊林,南方出版社,2018-10-01,17.1,22.8,7.5折,363981,100%推荐,http://product.dangdang.com/26509614.html
20,灰尘的旅行 中国科普作品精选 人民教育出版社四年级下册（含上下两本、彩色版~上下册标志在封面书名后，拆塑封可见） 语文教科书配套书目 人教版快乐读书吧,曹文轩、陈先云 主编,人民教育出版社,2020-01-01,32.5,50.0,6.5折,144204,100%推荐,http://product.dangdang.com/28521950.html
21,骆驼祥子原著正版七年级下阅读 推荐名著初中语文配套课外阅读语文同步教材 赠学习资料和音频,,哈尔滨出版社,,15.9,39.8,4.0折,121,100%推荐,http://product.dangdang.com/29971094.html
22,快乐读书吧六年级下册 鲁滨逊漂流记 汤姆索亚历险记 尼尔斯骑鹅旅行记 爱丽丝漫游仙境 课外阅读套装共4册 中小学生课外阅读无障碍阅读,马克 吐温，笛福，塞尔玛 拉格洛夫，卡罗尔，,时代文艺出版社,2018-11-01,46.7,62.2,7.5折,120946,100%推荐,http://product.dangdang.com/25577734.html
23,钢铁是怎样炼成的 七年级下 名著阅读课程化丛书 升级版 人民教育出版社七年级阅读书目,[苏]尼古拉 奥斯特洛夫斯基,人民教育出版社,2024-11-01,34.4,45.8,7.5折,34736,100%推荐,http://product.dangdang.com/29834471.html
24,跟着诗词去旅行 少年游学地理百科,日知图书 编著,北方妇女儿童出版社,2024-02-01,10.8,34.0,3.2折,558027,100%推荐,http://product.dangdang.com/29671906.html
25,看看我们的地球 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 2026年适用（无障碍阅读 彩插本）10000多名读者热评！小学四年级,李四光,民主与建设出版社,2020-02-01,16.1,24.8,6.5折,105952,100%推荐,http://product.dangdang.com/28513464.html
26,岩中花述 全四册 陈鲁豫新书作品当当专享印签版当当自营,陈鲁豫,湖南文艺出版社,2025-10-01,148.0,228.0,6.5折,51403,100%推荐,http://product.dangdang.com/29958646.html
