rank,title,author,publisher,date,price,original_price,discount,comments,recommendation,url
36,【普通版】如果历史是一群喵16晚清残晖篇篇全套正版1-156册肥志著漫画8周年纪念版套装3册小学生课外阅读儿童西游喵知识肥志百科,肥志,广东旅游出版社,2025-10-28,39.8,59.8,6.7折,41017,100%推荐,http://product.dangdang.com/29953539.html
37,简・爱 九年级下 名著阅读课程化丛书  导读版 人民教育出版社,（英）夏绿蒂.勃朗特 著；宋兆霖 译,人民教育出版社,2018-10-01,36.6,48.8,7.5折,188042,100%推荐,http://product.dangdang.com/26475993.html
38,我与地坛 纪念版  百班千人寒假书单 九年级推荐阅读 当当自营,史铁生,人民文学出版社,2011-06-01,29.0,29.0,10.0折,1867823,100%推荐,http://product.dangdang.com/21055821.html
39,蛤蟆先生去看心理医生（热销500万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,罗伯特・戴博德，果麦文化 出品,天津人民出版社,2020-07-01,22.8,38.0,6.0折,2086393,100%推荐,http://product.dangdang.com/28992419.html
40,看看我们的地球 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 2026年适用（无障碍阅读 彩插本）10000多名读者热评！小学四年级,李四光,民主与建设出版社,2020-02-01,16.1,24.8,6.5折,105950,100%推荐,http://product.dangdang.com/28513464.html
41,克林索尔的最后一个夏天（精装刷边版，黑塞自传式小说）,[德]赫尔曼・黑塞 著； 书田文化  出品,四川人民出版社,2025-06-01,27.0,45.0,6.0折,29677,100%推荐,http://product.dangdang.com/29908174.html
42,小狗钱钱2―让孩子和家长受益一生的品格教育童话，官方授权正版,博多・舍费尔,中信出版社,2021-12-10,22.4,39.8,5.6折,35583,100%推荐,http://product.dangdang.com/29343044.html
43,人类起源的演化过程 金波、张抗抗推荐 快乐读书吧 爱阅读课程化丛书 2026年适用（无障碍阅读 彩插本）小学四年级,贾兰坡,民主与建设出版社,2020-02-01,16.1,24.8,6.5折,96616,100%推荐,http://product.dangdang.com/28513469.html
44,她要自己去买花（伍尔夫女性思想随笔集）买花是微小的独立，而独立是一场革命。,[英]弗吉尼亚・伍尔夫/著，紫图图书    出品,中国长安出版社,2025-06-01,47.9,59.9,8.0折,19054,100%推荐,http://product.dangdang.com/29894075.html
45,面纱（精装刷边+金属文艺书签+飞机盒，一部写尽爱情、背叛与觉醒的文学经典）,[英]毛姆,广东花城出版社,2025-11-01,37.4,49.8,7.5折,2538,100%推荐,http://product.dangdang.com/29965664.html
46,跨山海 : 26位古代诗词偶像的真实人生 限量亲签版 三面全彩刷边 赠精美书签藏书票 飞机盒+珍珠棉发货,《千古风流人物》项目组,北京联合出版有限公司,2025-12-01,138.0,168.0,8.2折,1160,99.9%推荐,http://product.dangdang.com/29985612.html
47,经典常谈原著正版八年级下阅读 推荐名著初中语文配套课外阅读语文同步教材 赠学习资料和音频,,哈尔滨出版社,,11.9,29.8,4.0折,1158,100%推荐,http://product.dangdang.com/29971091.html
48,不被大风吹倒 莫言新书！卷也好、躺也好，不被大风吹倒就好！读客当代文学文库,莫言;读客文化 出品,北京日报出版社,2024-11-01,39.8,59.9,6.6折,128829,100%推荐,http://product.dangdang.com/29808132.html
49,认知觉醒 开启自我改变的原动力,周岭,人民邮电出版社,2020-09-01,59.8,59.8,10.0折,462836,100%推荐,http://product.dangdang.com/29119834.html
50,快乐读书吧六年级下册 鲁滨逊漂流记 汤姆索亚历险记 尼尔斯骑鹅旅行记 爱丽丝漫游仙境 课外阅读套装共4册 中小学生课外阅读无障碍阅读,马克 吐温，笛福，塞尔玛 拉格洛夫，卡罗尔，,时代文艺出版社,2018-11-01,46.7,62.2,7.5折,120941,100%推荐,http://product.dangdang.com/25577734.html
51,十日终焉8因果无限流齐夏杀虫队队员当当自营,杀虫队队员，风炫文化 出品,江苏凤凰文艺出版社,2025-10-31,38.5,48.0,8.0折,16865,100%推荐,http://product.dangdang.com/29953844.html
52,再见绘梨 【赠观影时光纸骰子+绘梨印象拼图卡】藤本树著 简体中文版未删减 电锯人 蓦然回首同作者 漫画书中信出版,藤本树 吴曦,中信出版社,2023-01-15,22.0,35.0,6.3折,98028,100%推荐,http://product.dangdang.com/29493542.html
53,病隙碎笔史铁生 光影纪念版  书内彩插作者亲摄照片12幅 史铁生充满灵性光辉的生命笔记 当当自营图书,"史铁生 著,博集天卷 出品",湖南文艺出版社,2021-11-01,45.6,48.0,9.5折,629289,100%推荐,http://product.dangdang.com/29325113.html
54,桐花中路私立协济医院怪谈,南琅,广东旅游出版社,2019-12-12,42.0,42.0,10.0折,28385,100%推荐,http://product.dangdang.com/28498807.html
55,小狗钱钱（套装2册）（附赠免费亲子财商课+理财秘籍思维导图）,博多・舍费尔,中信出版社,2021-12-10,44.7,79.6,5.6折,588756,100%推荐,http://product.dangdang.com/29343067.html
