rank,title,director,actors,year,country,genre,rating,votes,quote,url
25,末代皇帝,贝纳尔多·贝托鲁奇,尊龙 陈冲,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,1022763,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
26,哈利·波特与魔法石,克里斯·哥伦布,丹尼尔·雷德克里夫 艾玛·沃森,2001,美国 英国,奇幻 冒险,9.2,1413338,童话世界的开端。,https://movie.douban.com/subject/1295038/
27,当幸福来敲门,加布里埃莱·穆奇诺,威尔·史密斯 贾登·史密斯,2006,美国,剧情 家庭 传记,9.1,1679941,平民励志片。 ,https://movie.douban.com/subject/1849031/
28,龙猫,宫崎骏,日高范子 坂本千夏,1988,日本,动画 奇幻 冒险,9.2,1404420,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
29,活着,张艺谋,葛优 巩俐,1994,中国大陆 中国香港,剧情 家庭 历史,9.3,964883,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
30,怦然心动,罗伯·莱纳,玛德琳·卡罗尔 卡兰·麦克奥利菲,2010,美国,剧情 喜剧 爱情,9.1,2041587,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
31,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,克里斯蒂安·贝尔 希斯·莱杰,2008,美国 英国,剧情 动作 科幻 惊悚 犯罪,9.2,1187189,无尽的黑暗。,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,彼得·杰克逊,伊利亚·伍德 西恩·奥斯汀,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,905416,史诗的终章。,https://movie.douban.com/subject/1291552/
33,我不是药神,文牧野,徐峥 王传君,2018,中国大陆,剧情 喜剧,9.0,2340195,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
34,乱世佳人,维克多·弗莱明 乔治·库克 山姆·伍德,费雯·丽 克拉克·盖博,1939,美国,剧情 爱情 历史 战争,9.3,790032,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
35,飞屋环游记,彼特·道格特 鲍勃·彼德森,爱德华·阿斯纳 克里斯托弗·普卢默,2009,美国,剧情 喜剧 动画 冒险,9.1,1491989,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
36,让子弹飞,姜文,姜文 葛优,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1911662,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
37,哈尔的移动城堡,宫崎骏,倍赏千惠子 木村拓哉,2004,日本,爱情 动画 奇幻 冒险,9.1,1282231,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
38,十二怒汉,西德尼·吕美特,亨利·方达 马丁·鲍尔萨姆,1957,美国,剧情,9.4,575232,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
39,海蒂和爷爷,阿兰·葛斯彭纳,阿努克·斯特芬 布鲁诺·冈茨,2015,德国 瑞士,剧情 家庭 冒险,9.3,773890,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
40,素媛,李濬益,薛景求 严志媛,2013,韩国,剧情,9.3,772363,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
41,猫鼠游戏,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥 汤姆·汉克斯,2002,美国 加拿大,剧情 传记 犯罪,9.1,1202887,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
42,天空之城,宫崎骏,田中真弓 横泽启子,1986,日本,动画 奇幻 冒险,9.2,1004100,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
43,鬼子来了,姜文,姜文 香川照之,2000,中国大陆,剧情 喜剧,9.3,711361,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
44,摔跤吧！爸爸,涅提·蒂瓦里,阿米尔·汗 法缇玛·萨那·纱卡,2016,印度,剧情 家庭 传记 运动,9.0,1737599,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
45,少年派的奇幻漂流,李安,苏拉·沙玛 伊尔凡·可汗,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1483905,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
46,钢琴家,罗曼·波兰斯基,阿德里安·布罗迪 托马斯·克莱舒曼,2002,英国 法国 波兰 德国 美国,剧情 音乐 传记 战争,9.3,746212,,https://movie.douban.com/subject/1296736/
47,指环王2：双塔奇兵,彼得·杰克逊,伊利亚·伍德 西恩·奥斯汀,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,852580,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
48,死亡诗社,彼得·威尔,罗宾·威廉姆斯 罗伯特·肖恩·莱纳德,1989,美国,剧情,9.2,875092,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
49,大话西游之月光宝盒,刘镇伟,周星驰 吴孟达,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1359702,,https://movie.douban.com/subject/1299398/
50,何以为家,娜丁·拉巴基,赞恩·阿尔·拉菲亚 约丹诺斯·希费罗,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1158084,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
51,绿皮书,彼得·法雷里,维果·莫腾森 马赫沙拉·阿里,2018,美国 中国大陆,剧情 喜剧 音乐 传记,8.9,1882465,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
52,闻香识女人,马丁·布莱斯特,阿尔·帕西诺 克里斯·奥唐纳,1992,美国,剧情,9.1,1017586,,https://movie.douban.com/subject/1298624/
53,大闹天宫,万籁鸣,邱岳峰 富润生,1961,中国大陆,剧情 动画 奇幻 古装,9.4,506929,,https://movie.douban.com/subject/1418019/
54,黑客帝国,莉莉·沃卓斯基 拉娜·沃卓斯基,基努·里维斯 劳伦斯·菲什伯恩,1999,美国,动作 科幻,9.1,945304,,https://movie.douban.com/subject/1291843/
55,指环王1：护戒使者,彼得·杰克逊,伊利亚·伍德 西恩·奥斯汀,2001,新西兰 美国 英国,剧情 动作 奇幻 冒险,9.1,955045,,https://movie.douban.com/subject/1291571/
56,罗马假日,威廉·惠勒,奥黛丽·赫本 格利高里·派克,1953,美国,剧情 喜剧 爱情,9.1,1044410,,https://movie.douban.com/subject/1293839/
57,教父2,弗朗西斯·福特·科波拉,阿尔·帕西诺 罗伯特·杜瓦尔,1974,美国,剧情 犯罪,9.3,636071,,https://movie.douban.com/subject/1299131/
58,狮子王,罗杰·阿勒斯 罗伯·明可夫,乔纳森·泰勒·托马斯 马修·布罗德里克,1994,美国,动画 歌舞 冒险,9.1,956174,,https://movie.douban.com/subject/1301753/
59,天堂电影院,朱塞佩·托纳多雷,菲利普·努瓦雷 萨瓦特利·卡西欧,1988,意大利 法国,剧情 爱情,9.2,738097,,https://movie.douban.com/subject/1291828/
60,饮食男女,李安,郎雄 杨贵媚,1994,中国台湾 美国,剧情 家庭,9.2,720863,,https://movie.douban.com/subject/1291818/
61,辩护人,杨宇硕,宋康昊 金迎爱,2013,韩国,剧情,9.2,655447,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
62,本杰明·巴顿奇事,大卫·芬奇,布拉德·皮特 凯特·布兰切特,2008,美国,剧情 爱情 奇幻,9.0,1100317,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
63,搏击俱乐部,大卫·芬奇,爱德华·诺顿 布拉德·皮特,1999,美国,剧情 动作 悬疑 惊悚,9.0,968923,,https://movie.douban.com/subject/1292000/
64,美丽心灵,朗·霍华德,罗素·克劳 艾德·哈里斯,2001,美国,剧情 传记,9.1,850593,,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,马克·赫尔曼,阿萨·巴特菲尔德 维拉·法米加,2008,英国 美国,剧情 战争,9.2,639062,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
66,情书,岩井俊二,中山美穗 丰川悦司,1995,日本,剧情 爱情,8.9,1319034,,https://movie.douban.com/subject/1292220/
67,哈利·波特与死亡圣器(下),大卫·叶茨,丹尼尔·雷德克里夫 艾玛·沃森,2011,美国 英国,奇幻 冒险,9.0,966268,10年的完美句点。,https://movie.douban.com/subject/3011235/
68,两杆大烟枪,盖·里奇,杰森·弗莱明 德克斯特·弗莱彻,1998,英国,剧情 喜剧 犯罪,9.1,674684,,https://movie.douban.com/subject/1293350/
69,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃 马蒂娜·格德克,2006,德国,剧情 悬疑,9.2,629551,别样人生。,https://movie.douban.com/subject/1900841/
70,音乐之声,罗伯特·怀斯,朱莉·安德鲁斯 克里斯托弗·普卢默,1965,美国,剧情 爱情 歌舞 传记,9.1,681324,,https://movie.douban.com/subject/1294408/
71,功夫,周星驰,周星驰 元秋,2004,中国大陆 中国香港,喜剧 动作 犯罪 奇幻,8.9,1329036,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
72,哈利·波特与阿兹卡班的囚徒,阿方索·卡隆,丹尼尔·雷德克里夫 艾玛·沃森,2004,英国 美国,奇幻 冒险,9.0,886448,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
73,西西里的美丽传说,朱塞佩·托纳多雷,莫妮卡·贝鲁奇 朱塞佩·苏尔法罗,2000,意大利 美国,剧情 情色 战争,8.9,1089290,,https://movie.douban.com/subject/1292402/
74,阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿 佐伊·索尔达娜,2009,美国,动作 科幻 冒险,8.8,1580432,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
75,看不见的客人,奥里奥尔·保罗,马里奥·卡萨斯 阿娜·瓦格纳,2016,西班牙,剧情 悬疑 惊悚 犯罪,8.8,1434590,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
76,拯救大兵瑞恩,史蒂文·斯皮尔伯格,汤姆·汉克斯 汤姆·塞兹摩尔,1998,美国,剧情 战争,9.1,721969,,https://movie.douban.com/subject/1292849/
77,沉默的羔羊,乔纳森·戴米,朱迪·福斯特 安东尼·霍普金斯,1991,美国,剧情 惊悚 犯罪,8.9,1011875,,https://movie.douban.com/subject/1293544/
78,小鞋子,马基德·马基迪,默罕默德·阿米尔·纳吉 阿米尔·法拉赫·哈什米安,1997,伊朗,剧情 家庭 儿童,9.2,462813,,https://movie.douban.com/subject/1303021/
79,布达佩斯大饭店,韦斯·安德森,拉尔夫·费因斯 托尼·雷沃罗利,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,1080753,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
80,蝴蝶效应,埃里克·布雷斯 J·麦基·格鲁伯,阿什顿·库彻 梅洛拉·沃尔特斯,2004,美国 加拿大,剧情 科幻 悬疑 惊悚,8.9,1063543,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
81,飞越疯人院,米洛斯·福尔曼,杰克·尼科尔森 路易丝·弗莱彻,1975,美国,剧情,9.1,601598,,https://movie.douban.com/subject/1292224/
82,禁闭岛,马丁·斯科塞斯,莱昂纳多·迪卡普里奥 马克·鲁法洛,2010,美国,剧情 悬疑 惊悚,8.9,1108192,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
83,还有明天,宝拉·柯特莱西,宝拉·柯特莱西 瓦莱里奥·马斯坦德雷亚,2023,意大利,剧情 喜剧 历史,9.3,361777,,https://movie.douban.com/subject/36445098/
84,心灵捕手,格斯·范·桑特,马特·达蒙 罗宾·威廉姆斯,1997,美国,剧情,9.0,812155,,https://movie.douban.com/subject/1292656/
85,致命魔术,克里斯托弗·诺兰,休·杰克曼 克里斯蒂安·贝尔,2006,英国 美国,剧情 悬疑 惊悚,8.9,961119,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
86,低俗小说,昆汀·塔伦蒂诺,约翰·特拉沃尔塔 乌玛·瑟曼,1994,美国,剧情 喜剧 犯罪,8.9,955498,,https://movie.douban.com/subject/1291832/
87,超脱,托尼·凯耶,阿德里安·布罗迪 马西娅·盖伊·哈登,2011,美国,剧情,9.0,719849,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
88,哈利·波特与密室,克里斯·哥伦布,丹尼尔·雷德克里夫 艾玛·沃森,2002,英国 美国,奇幻 冒险,8.9,912647,,https://movie.douban.com/subject/1296996/
89,一一,杨德昌,吴念真 李凯莉,2000,中国台湾 日本,剧情 爱情 家庭,9.1,505693,,https://movie.douban.com/subject/1292434/
90,喜剧之王,周星驰 李力持,周星驰 张柏芝,1999,中国香港,剧情 喜剧 爱情,8.8,1090991,,https://movie.douban.com/subject/1302425/
91,摩登时代,查理·卓别林,查理·卓别林 宝莲·高黛,1936,美国,剧情 喜剧 爱情,9.3,345515,,https://movie.douban.com/subject/1294371/
92,杀人回忆,奉俊昊,宋康昊 金相庆,2003,韩国,剧情 动作 悬疑 惊悚 犯罪,8.9,833582,,https://movie.douban.com/subject/1300299/
93,致命ID,詹姆斯·曼高德,约翰·库萨克 雷·利奥塔,2003,美国,剧情 悬疑 惊悚,8.9,944355,,https://movie.douban.com/subject/1297192/
94,春光乍泄,王家卫,张国荣 梁朝伟,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,707520,,https://movie.douban.com/subject/1292679/
95,加勒比海盗,戈尔·维宾斯基,约翰尼·德普 杰弗里·拉什,2003,美国,动作 奇幻 冒险,8.8,965322,,https://movie.douban.com/subject/1298070/
96,海豚湾,路易·西霍尤斯,路易·西霍尤斯 瑞克·欧贝瑞,2009,美国,纪录片,9.3,381751,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
97,美国往事,赛尔乔·莱昂内,罗伯特·德尼罗 詹姆斯·伍兹,1984,美国 意大利,剧情 犯罪,9.1,470080,,https://movie.douban.com/subject/1292262/
98,红辣椒,今敏,林原惠美 江守彻,2006,日本,科幻 动画 悬疑 惊悚,9.0,567246,梦的勾结。,https://movie.douban.com/subject/1865703/
99,七宗罪,大卫·芬奇,摩根·弗里曼 布拉德·皮特,1995,美国,剧情 悬疑 惊悚 犯罪,8.8,1058235,,https://movie.douban.com/subject/1292223/
100,唐伯虎点秋香,李力持,周星驰 巩俐,1993,中国香港,喜剧 爱情 古装,8.8,1220891,,https://movie.douban.com/subject/1306249/
101,狩猎,托马斯·温特伯格,麦斯·米科尔森 托玛斯·博·拉森,2012,丹麦 瑞典,剧情,9.1,468367,人言可畏。,https://movie.douban.com/subject/6985810/
102,幽灵公主,宫崎骏,松田洋治 石田百合子,1997,日本,动画 奇幻 冒险,8.9,667378,,https://movie.douban.com/subject/1297359/
103,甜蜜蜜,陈可辛,黎明 张曼玉,1996,中国香港,剧情 爱情,8.9,670465,,https://movie.douban.com/subject/1305164/
104,寄生虫,奉俊昊,宋康昊 李善均,2019,韩国,剧情,8.8,1543842,,https://movie.douban.com/subject/27010768/
105,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,克里斯蒂安·贝尔 汤姆·哈迪,2012,美国 英国,剧情 动作 科幻 惊悚 犯罪,8.9,812190,诺兰就是保证。,https://movie.douban.com/subject/3395373/
106,天书奇谭,王树忱 钱运达,丁建华 毕克,1983,中国大陆,动画 奇幻,9.2,333389,,https://movie.douban.com/subject/1428581/
107,7号房的礼物,李焕京,柳承龙 朴信惠,2013,韩国,剧情 喜剧 家庭,8.9,620581,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
108,超能陆战队,唐·霍尔 克里斯·威廉姆斯,斯科特·安第斯 瑞恩·波特,2014,美国,喜剧 动作 科幻 动画 冒险,8.8,1142152,Balalala~~~,https://movie.douban.com/subject/11026735/
109,第六感,M·奈特·沙马兰,布鲁斯·威利斯 海利·乔·奥斯蒙,1999,美国,剧情 悬疑 惊悚,8.9,634991,,https://movie.douban.com/subject/1297630/
110,爱在黎明破晓前,理查德·林克莱特,伊桑·霍克 朱莉·德尔佩,1995,美国 奥地利 瑞士,剧情 爱情,8.8,797869,,https://movie.douban.com/subject/1296339/
111,茶馆,谢添,于是之 郑榕,1982,中国大陆,剧情 历史,9.5,207277,,https://movie.douban.com/subject/1461403/
112,爱在日落黄昏时,理查德·林克莱特,伊桑·霍克 朱莉·德尔佩,2004,美国 法国,剧情 爱情,8.9,651494,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
113,被嫌弃的松子的一生,中岛哲也,中谷美纪 永山瑛太,2006,日本,剧情 歌舞,8.8,773783,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
114,哈利·波特与火焰杯,迈克·内威尔,丹尼尔·雷德克里夫 艾玛·沃森,2005,英国 美国,悬疑 奇幻 冒险,8.8,799186,,https://movie.douban.com/subject/1309055/
115,头脑特工队,彼特·道格特 罗纳尔多·德尔·卡门,艾米·波勒 菲利丝·史密斯,2015,美国,喜剧 动画 冒险,8.8,803099,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
116,未麻的部屋,今敏,岩男润子 松本梨香,1997,日本,剧情 动画 悬疑 惊悚 犯罪,9.1,423823,,https://movie.douban.com/subject/1395091/
117,重庆森林,王家卫,林青霞 金城武,1994,中国香港,剧情 爱情,8.8,920809,,https://movie.douban.com/subject/1291999/
118,借东西的小人阿莉埃蒂,米林宏昌,志田未来 神木隆之介,2010,日本,动画 奇幻 冒险,8.9,626454,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
119,入殓师,泷田洋二郎,本木雅弘 广末凉子,2008,日本,剧情,8.9,741902,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
120,菊次郎的夏天,北野武,北野武 关口雄介,1999,日本,剧情 喜剧,8.9,672250,,https://movie.douban.com/subject/1293359/
121,断背山,李安,希斯·莱杰 杰克·吉伦哈尔,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,781280,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
122,剪刀手爱德华,蒂姆·波顿,约翰尼·德普 薇诺娜·瑞德,1990,美国,剧情 爱情 奇幻,8.7,1119005,,https://movie.douban.com/subject/1292370/
123,勇敢的心,梅尔·吉布森,梅尔·吉布森 苏菲·玛索,1995,美国,剧情 动作 传记 历史 战争,8.9,604797,,https://movie.douban.com/subject/1294639/
124,时空恋旅人,理查德·柯蒂斯,多姆纳尔·格里森 瑞秋·麦克亚当斯,2013,英国 美国,喜剧 爱情 奇幻,8.8,790563,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
125,驯龙高手,迪恩·戴布洛伊 克里斯·桑德斯,杰伊·巴鲁切尔 杰拉德·巴特勒,2010,美国,动画 奇幻 冒险,8.8,863215,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
126,消失的爱人,大卫·芬奇,本·阿弗莱克 裴淳华,2014,美国,剧情 悬疑 惊悚 犯罪,8.7,1071078,年度最佳date movie。,https://movie.douban.com/subject/21318488/
127,无人知晓,是枝裕和,柳乐优弥 北浦爱,2004,日本,剧情,9.1,371562,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
128,倩女幽魂,程小东,张国荣 王祖贤,1987,中国香港,爱情 奇幻 武侠 古装,8.8,834437,,https://movie.douban.com/subject/1297447/
129,傲慢与偏见,乔·赖特,凯拉·奈特莉 马修·麦克费登,2005,法国 英国 美国,剧情 爱情,8.7,930960,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
130,花样年华,王家卫,张曼玉 梁朝伟,2000,中国香港,剧情 爱情,8.8,802972,,https://movie.douban.com/subject/1291557/
131,新世界,朴勋政,李政宰 崔岷植,2013,韩国,剧情 犯罪,8.9,526083,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
132,玩具总动员3,李·昂克里奇,汤姆·汉克斯 蒂姆·艾伦,2010,美国,喜剧 动画 奇幻 冒险,8.9,591411,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
133,完美的世界,克林特·伊斯特伍德,凯文·科斯特纳 劳拉·邓恩,1993,美国,剧情 犯罪,9.1,359582,,https://movie.douban.com/subject/1300992/
134,一个叫欧维的男人决定去死,汉内斯·赫尔姆,罗夫·拉斯加德 巴哈·帕斯,2015,瑞典,剧情,8.9,567605,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
135,色，戒,李安,梁朝伟 汤唯,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.7,958911,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
136,阳光灿烂的日子,姜文,夏雨 宁静,1994,中国大陆 中国香港,剧情 爱情,8.8,694611,,https://movie.douban.com/subject/1291875/
