rank,title,director,actors,year,country,genre,rating,votes,quote,url
169,小丑,托德·菲利普斯,华金·菲尼克斯 罗伯特·德尼罗,2019,美国 加拿大,剧情 惊悚 犯罪,8.7,1124594,,https://movie.douban.com/subject/27119724/
170,三块广告牌,马丁·麦克唐纳,弗兰西斯·麦克多蒙德 伍迪·哈里森,2017,英国 美国,剧情 犯罪,8.7,919147,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
171,谍影重重3,保罗·格林格拉斯,马特·达蒙 朱丽娅·斯蒂尔斯,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.9,470442,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
172,电锯惊魂,温子仁,雷·沃纳尔 加利·艾尔维斯,2004,美国,悬疑 惊悚 恐怖,8.7,612336,真相就在眼前。,https://movie.douban.com/subject/1417598/
173,末路狂花,雷德利·斯科特,吉娜·戴维斯 苏珊·萨兰登,1991,美国 英国 法国,剧情 惊悚 犯罪,9.0,345671,,https://movie.douban.com/subject/1291992/
174,高山下的花环,谢晋,吕晓禾 唐国强,1984,中国大陆,剧情 战争,9.5,158135,,https://movie.douban.com/subject/1422283/
175,无间道2,刘伟强 麦兆辉,陈冠希 余文乐,2003,中国香港,剧情 惊悚 犯罪,8.8,566300,,https://movie.douban.com/subject/1307106/
176,达拉斯买家俱乐部,让-马克·瓦雷,马修·麦康纳 詹妮弗·加纳,2013,美国,剧情 同性 传记,8.8,505502,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
177,疯狂原始人,柯克·德·米科 克里斯·桑德斯,尼古拉斯·凯奇 艾玛·斯通,2013,美国,喜剧 动画 冒险,8.7,920606,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
178,绿里奇迹,弗兰克·德拉邦特,汤姆·汉克斯 大卫·摩斯,1999,美国,剧情 悬疑 犯罪 奇幻,8.9,387842,,https://movie.douban.com/subject/1300374/
179,爱在午夜降临前,理查德·林克莱特,伊桑·霍克 朱莉·德尔佩,2013,美国 希腊,剧情 爱情,8.9,472819,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
180,疯狂的石头,宁浩,郭涛 刘桦,2006,中国大陆 中国香港,喜剧 犯罪,8.6,925224,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
181,雨中曲,斯坦利·多南 吉恩·凯利,吉恩·凯利 唐纳德·奥康纳,1952,美国,喜剧 爱情 歌舞,9.1,268358,,https://movie.douban.com/subject/1293460/
182,2001太空漫游,斯坦利·库布里克,凯尔·杜拉 加里·洛克伍德,1968,英国 美国,科幻 惊悚 冒险,8.9,395887,,https://movie.douban.com/subject/1292226/
183,海街日记,是枝裕和,绫濑遥 长泽雅美,2015,日本,剧情 家庭,8.8,520503,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
184,风之谷,宫崎骏,岛本须美 松田洋治,1984,日本,动画 奇幻 冒险,8.9,393369,,https://movie.douban.com/subject/1291585/
185,上帝之城,费尔南多·梅里尔斯 卡蒂亚·伦德,亚历桑德雷·罗德里格斯 莱安德鲁·菲尔米诺,2002,巴西 法国,剧情 犯罪,9.0,333199,,https://movie.douban.com/subject/1292208/
186,心迷宫,忻钰坤,霍卫民 王笑天,2014,中国大陆,剧情 悬疑 犯罪,8.7,616858,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
187,英雄本色,吴宇森,周润发 狄龙,1986,中国香港,剧情 动作 犯罪,8.6,605781,,https://movie.douban.com/subject/1297574/
188,记忆碎片,克里斯托弗·诺兰,盖·皮尔斯 凯瑞-安·莫斯,2000,美国,剧情 悬疑 惊悚 犯罪,8.7,668394,,https://movie.douban.com/subject/1304447/
189,纵横四海,吴宇森,周润发 张国荣,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,473334,,https://movie.douban.com/subject/1295409/
190,无敌破坏王,瑞奇·摩尔,约翰·C·赖利 萨拉·西尔弗曼,2012,美国,喜剧 动画 奇幻 冒险,8.7,611700,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
191,卢旺达饭店,特瑞·乔治,唐·钱德尔 苏菲·奥康内多,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,366915,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
192,东京教父,今敏,江守彻 梅垣义明,2003,日本,剧情 喜剧 动画,9.0,290855,,https://movie.douban.com/subject/1310177/
193,小偷家族,是枝裕和,中川雅也 安藤樱,2018,日本,剧情 家庭 犯罪,8.7,894805,我们组成了家。,https://movie.douban.com/subject/27622447/
194,牯岭街少年杀人事件,杨德昌,张震 杨静怡,1991,中国台湾,剧情 犯罪,8.9,368666,,https://movie.douban.com/subject/1292329/
195,恐怖游轮,克里斯托弗·史密斯,梅利莎·乔治 迈克尔·多曼,2009,英国 澳大利亚,科幻 悬疑 惊悚 奇幻,8.5,988901,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
196,冰川时代,卡洛斯·沙尔丹哈 克里斯·韦奇,雷·罗马诺 约翰·雷吉扎莫,2002,美国,喜剧 动画 冒险,8.7,685554,,https://movie.douban.com/subject/1291578/
197,魔女宅急便,宫崎骏,高山南 佐久间玲,1989,日本,动画 奇幻 冒险,8.7,524103,,https://movie.douban.com/subject/1307811/
198,芙蓉镇,谢晋,刘晓庆 姜文,1987,中国大陆,剧情 爱情,9.3,189569,,https://movie.douban.com/subject/1297880/
199,忠犬八公物语,神山征二郎,仲代达矢 八千草薰,1987,日本,剧情,9.2,218528,,https://movie.douban.com/subject/1959195/
200,岁月神偷,罗启锐,吴君如 任达华,2010,中国香港 中国大陆,剧情 家庭,8.7,612499,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
201,荒蛮故事,达米安·斯兹弗隆,达里奥·格兰迪内蒂 玛丽娅·玛努尔,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.7,517277,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
202,遗愿清单,罗伯·莱纳,杰克·尼科尔森 摩根·弗里曼,2007,美国,剧情 喜剧 冒险,8.7,537924,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
203,大佛普拉斯,黄信尧,庄益增 陈竹升,2017,中国台湾,剧情 喜剧,8.7,553467,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
204,源代码,邓肯·琼斯,杰克·吉伦哈尔 维拉·法米加,2011,美国 加拿大,科幻 悬疑 惊悚,8.6,925151,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
205,花束般的恋爱,土井裕泰,菅田将晖 有村架纯,2021,日本,剧情 爱情,8.6,826078,,https://movie.douban.com/subject/34874432/
206,疯狂的麦克斯4：狂暴之路,乔治·米勒,汤姆·哈迪 查理兹·塞隆,2015,澳大利亚 美国,动作 科幻 冒险,8.7,618245,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
207,白日梦想家,本·斯蒂勒,本·斯蒂勒 克里斯汀·韦格,2013,美国 英国,剧情 喜剧 冒险,8.6,646226,,https://movie.douban.com/subject/2133323/
208,你看起来好像很好吃,藤森雅也,山口胜平 爱河里花子,2010,日本,剧情 动画 儿童,8.9,375607,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
209,可可西里,陆川,多布杰 张垒,2004,中国大陆 中国香港,剧情 犯罪,8.9,346265,坚硬的信仰。,https://movie.douban.com/subject/1308857/
210,贫民窟的百万富翁,丹尼·博伊尔 洛芙琳·坦丹,戴夫·帕特尔 沙鲁巴·舒克拉,2008,英国,剧情 爱情,8.6,806651,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
211,爱乐之城,达米恩·查泽雷,瑞恩·高斯林 艾玛·斯通,2016,美国,剧情 爱情 歌舞,8.4,1111477,,https://movie.douban.com/subject/25934014/
212,波西米亚狂想曲,布莱恩·辛格,拉米·马雷克 本·哈迪,2018,英国 美国,剧情 同性 音乐 传记,8.6,689673,,https://movie.douban.com/subject/5300054/
